,source_language,split,target_language
2010,they are negotiating to reach a satisfactory compromise .,train,ils sont en train de nã©gocier pour arriver ã  un compromis satisfaisant.
2011,you are crazy .,train,tu es cinglã©.
2012,he is what is called a gentleman .,train,il est ce qu'on appelle un gentleman.
2013,he is thinking it over .,train,il est en train d'y rã©flã©chir.
2014,i am familiar with this subject .,train,je connais bien ce sujet.
2015,he is bankrupt .,train,il est en faillite.
2016,he is able to swim like a fish .,train,il est capable de nager comme un poisson.
2017,he is an angry drunk .,train,il a le vin mauvais.
2018,he is quite right .,train,il a plutã´t raison.
2019,he is quite satisfied with his income .,train,il est tout ã  fait satisfait de ses revenus.
2020,she is a good english speaker .,train,elle parle bien anglais.
2021,we are about to sit down to dinner .,train,nous sommes sur le point de nous mettre ã  table pour souper.
2022,she is afraid of falling ill again .,train,elle a peur de retomber malade.
2023,i am the tallest in our class .,train,je suis le plus grand de notre classe.
2024,he is a teacher .,train,il est instituteur.
2025,i am uncomfortable in these new shoes .,train,ces nouvelles chaussures sont inconfortables.
2026,i am not happy with my job .,train,je ne suis pas heureux dans mon travail.
2027,she is not afraid of anything .,train,elle n'a peur de rien.
2028,he is my classmate .,train,c'est mon camarade de classe.
2029,she is a wonderful wife .,train,c'est une femme magnifique.
2030,he is n't able to drive a car .,train,il est incapable de conduire une voiture.
2031,he is tired of reading .,train,il est fatiguã© de lire.
2032,he is saving in order to buy a house .,train,il ã©conomise pour acheter une maison.
2033,she is n't kind to him .,train,elle n'est pas gentille avec lui.
2034,we are going to his house . want to come with ?,train,nous nous rendons ã  sa maison. veux-tu te joindreâ€¯?
2035,they are watching a movie .,train,ils regardent un film.
2036,i am unable to agree on that point .,train,je ne peux pas ãªtre d'accord sur ce point.
2037,she is still a girl .,train,elle est encore mineure.
2038,he is the last man to do such a thing .,train,c'est le dernier homme ã  faire une chose pareille.
2039,he is by far the best baseball player at our school .,train,il est de loin le meilleur joueur de base-ball de notre ã©cole.
2040,you are important .,train,vous ãªtes importante.
2041,they are running now .,train,ils courent maintenant.
2042,he is unmarried .,train,il est cã©libataire.
2043,you are the one .,train,tu es celle-lã .
2044,you are very attractive in blue .,train,le bleu vous va trã¨s bien.
2045,she is among those unaccounted for .,train,elle compte parmi ceux dont on est sans nouvelles.
2046,i am certain that he will pass the exam .,train,je suis sã»r qu'il rã©ussira l'examen.
2047,i am calling to make an appointment with you .,train,j'appelle pour convenir d'un rendez-vous avec vous.
2048,i am willing to help you .,train,je suis dã©sireux de vous aider.
2049,"i am finnish , but i speak also swedish .",train,"je suis finlandais, mais je parle aussi le suã©dois."
2050,we are doctors .,train,nous sommes mã©decins.
2051,he is a formidable opponent .,train,c'est un adversaire redoutable.
2052,he is giving me a hard time .,train,il me donne du mal.
2053,i am dying to see her again .,train,je crã¨ve d'envie de la revoir.
2054,i am counting on you to deliver the opening address .,train,je compte sur vous pour prononcer le discours d'ouverture.
2055,he is above suspicion .,train,il est au-dessus de tout soupã§on.
2056,you are so childish sometimes .,train,vous ãªtes parfois si puã©rils.
2057,she is exceedingly sensitive to the cold .,train,elle est extrãªmement sensible au froid.
2058,he is always complaining about his low salary .,train,il est toujours en train de se plaindre ã  propos de son faible salaire.
2059,i am learning two foreign languages .,train,je suis en train d'apprendre deux langues ã©trangã¨res.
2060,she is wearing a valuable ring .,train,elle porte une bague de prix.
2061,we are going to climb that mountain .,train,nous avons l'intention de gravir cette montagne.
2062,i am ashamed of your conduct .,train,j'ai honte de votre conduite.
2063,i am reading a book .,train,je suis en train de lire un livre.
2064,you are on the wrong train .,train,tu es dans le mauvais train.
2065,he is confronted by many difficulties .,train,il est confrontã© ã  de nombreuses difficultã©s.
2066,you are not supposed to smoke here .,train,tu n'es pas censã©e fumer ici.
2067,i am going to be fourteen .,train,je vais avoir quatorze ans.
2068,he is making great progress in english .,train,il fait de gros progrã¨s en anglais.
2069,they are about the same age .,train,ils sont ã  peu prã¨s du mãªme ã¢ge.
2070,i am looking forward to christmas .,train,j'attends noã«l avec impatience.
2071,he is at his desk .,train,il est ã  son bureau.
2072,i am not sure yet if i will go to a university or get a job .,train,je ne suis pas encore sã»r si j'irai ã  l'universitã© ou si je prendrai un emploi.
2073,i am sure i can get in touch with him by telephone .,train,je suis sã»r de pouvoir le contacter par tã©lã©phone.
2074,he is very learned .,train,il est trã¨s ã©rudit.
2075,he is a capable lawyer .,train,c'est un avocat compã©tent.
2076,you are very brave .,train,vous ãªtes fort courageuse.
2077,she is currently in danger .,train,elle est en danger.
2078,she is looking forward to seeing him again .,train,elle a hã¢te de le revoir.
2079,you are early .,train,tu es matinal.
2080,you are n't invited .,train,vous n'ãªtes pas invitã©e.
2081,he is n't here now .,train,il n'est pas lã  en ce moment.
2082,she is traveling now .,train,elle est en dã©placement en ce moment.
2083,i am not concerned with this .,train,ceci m'indiffã¨re.
2084,he is a gentleman among gentlemen .,train,c'est un monsieur.
2085,he is equal to the task .,train,il est ã  la hauteur de la tã¢che.
2086,he is watching tv now .,train,maintenant il regarde la tã©lã©.
2087,he is a recognized authority on the subject .,train,il est une autoritã© reconnue sur le sujet.
2088,she is from france .,train,elle vient de france.
2089,he is a doctor and a university professor .,train,il est docteur et professeur d'universitã©.
2090,i am loved by my parents .,train,mes parents m'adorent.
2091,he is very afraid of his mother .,train,il a trã¨s peur de sa mã¨re.
2092,she is always trying to please him .,train,elle essaie toujours de lui faire plaisir.
2093,she is very kind to us .,train,elle est trã¨s gentille avec nous.
2094,i am so sorry to have kept you waiting .,train,je suis vraiment dã©solã© de t'avoir fait attendre.
2095,"he is short , but strong .",train,il est petit mais fort.
2096,i am going abroad this summer .,train,je vais ã  l'ã©tranger cet ã©tã©.
2097,i am not acquainted with him .,train,je ne lui suis pas liã©.
2098,i am interested in japanese history .,train,je suis intã©ressã© par l'histoire japonaise.
2099,she is practicing the violin now .,train,elle est actuellement en train de pratiquer le violon.
2100,he is too cautious to try anything new .,train,il est trop prudent pour essayer quoi que ce soit de nouveau.
2101,they are n't alone .,train,elles ne sont pas seules.
2102,he is a member of the parish committee .,train,il est membre du conseil paroissial.
2103,she is amusing to be with .,train,"on s'amuse, avec elle."
2104,i am ashamed .,train,j'ai honte.
2105,i am glad to help you .,train,je suis contente de vous aider.
2106,i am off today .,train,"je suis en congã©, aujourd'hui."
2107,i am completely out of breath .,train,je suis complã¨tement essoufflã©.
2108,she is dressed in her best .,train,elle s'est mise sur son trente-et-un.
2109,she is interested in learning new ideas .,train,elle est intã©ressã©e d'apprendre de nouvelles idã©es.
2110,she is kissing him .,train,elle l'embrasse.
2111,i am human .,train,je suis humain.
2112,they are not my real parents .,train,ils ne sont pas mes vrais parents.
2113,he is not himself today .,train,il n'est pas lui-mãªme aujourd'hui.
2114,he is reputed the best lawyer in this city .,train,il a la rã©putation d'ãªtre le meilleur avocat de la ville.
2115,he is content with the simple life .,train,il est content de sa vie simple.
2116,i am shorter than you .,train,je suis plus petit que toi.
2117,he is on night duty tonight .,train,il travaille de nuit ce soir.
2118,we are about to leave here .,train,nous sommes sur le point de partir d'ici.
2119,i am a muslim .,train,je suis musulman.
2120,she is remarkably attractive .,train,elle est trã¨s attirante.
2121,i am writing a letter .,train,j'ã©cris une lettre.
2122,she is certain to pass the exam .,train,elle est certaine de rã©ussir les examens.
2123,he is walking very slowly .,train,il marche trã¨s lentement.
2124,he is acquainted with the custom .,train,il a connaissance de la tradition.
2125,he is employed in a bank .,train,il travaille dans une banque.
2126,you are probably wrong .,train,tu as probablement tort.
2127,he is the most obstinate child i have ever seen .,train,il est l'enfant le plus obstinã© que j'ai jamais vu.
2128,he is a psychic .,train,il est mã©dium.
2129,we are n't alone .,train,nous ne sommes pas seuls.
2130,"you are n't in a hurry , are you ?",train,"vous n'ãªtes pas pressã©es, si ?"
2131,she is busy at present and ca n't speak to you .,train,elle est occupã©e pour l'instant et ne peut te parler.
2132,he is worthy of our praise .,train,il mã©rite nos louanges.
2133,you are not supposed to smoke at school .,train,tu es supposã© ne pas fumer ã  l'ã©cole.
2134,i am the first musician in my family .,train,je suis le premier musicien de la famille.
2135,he is playing in his room .,train,il joue dans sa chambre.
2136,she is muttering to herself .,train,elle se parle ã  elle toute seule.
2137,we are not americans .,train,nous ne sommes pas des amã©ricains.
2138,he is capable of running a mile in four minutes .,train,il est capable de courir un mille en quatre minutes.
2139,he is not very good at mathematics .,train,il n'est pas trã¨s bon en mathã©matiques.
2140,she is certainly over forty .,train,c'est certainement une quadra.
2141,i am so tired that i can hardly walk .,train,je suis tellement fatiguã© que je peux ã  peine marcher.
